gl-lock: display acquired by 'bob' — timeout -k 5 900 env DISPLAY=:0 TRACK=watglen JM_SMOKE=1 JM_SMOKE_FRAMES=420 JM_OFFTRACK_PROBE=2386:30:190:40:35 JM_OFFTRACK_FRAMES=420 JM_OFFTRACK_EXIT=1 JM_NO_AUTOEXIT=1 julia --project=/home/admin/sgl-julia-racer/THU/rFactor/juliaMotor/demo/native /home/admin/sgl-julia-racer/THU/rFactor/juliaMotor/demo/native/drive_native_mtk.jl
  JM_OFFTRACK_PROBE: car placed at s=2386 lat=30.0 m, heading 40.0 deg off the line, 190.0 km/h (x=2.0 z=-255.7 ground=23.97)
  [offtrack] t=0.433 v=28.1 x=-12.41 z=-254.43 y=23.827 heave=0.024 ontrack=false wrecked=true bndpk=299953.0 bndF=(0.0,0.0) wfx=-25861.0 cF=(0.0,0.0) off=8.6 nl=6.68
  [offtrack] t=0.45 v=25.4 x=-12.53 z=-254.4 y=23.837 heave=0.03 ontrack=false wrecked=true bndpk=290185.0 bndF=(0.0,0.0) wfx=-23521.0 cF=(0.0,0.0) off=8.7 nl=6.81
  [offtrack] t=0.467 v=22.9 x=-12.65 z=-254.36 y=23.846 heave=0.034 ontrack=false wrecked=true bndpk=254951.0 bndF=(0.0,0.0) wfx=-21378.0 cF=(0.0,0.0) off=8.8 nl=6.92
  [offtrack] t=0.484 v=20.7 x=-12.75 z=-254.33 y=23.854 heave=0.037 ontrack=false wrecked=true bndpk=230685.0 bndF=(0.0,0.0) wfx=-19503.0 cF=(0.0,0.0) off=8.9 nl=7.02
  [offtrack] t=0.502 v=18.8 x=-12.84 z=-254.3 y=23.859 heave=0.038 ontrack=false wrecked=true bndpk=206969.0 bndF=(0.0,0.0) wfx=-17862.0 cF=(0.0,0.0) off=9.0 nl=7.12
  [offtrack] t=0.519 v=17.2 x=-12.92 z=-254.27 y=23.864 heave=0.038 ontrack=false wrecked=true bndpk=189377.0 bndF=(0.0,0.0) wfx=-16459.0 cF=(0.0,0.0) off=9.1 nl=7.2
  [offtrack] t=0.536 v=15.8 x=-12.99 z=-254.24 y=23.866 heave=0.037 ontrack=false wrecked=true bndpk=183294.0 bndF=(0.0,0.0) wfx=-15306.0 cF=(0.0,0.0) off=9.2 nl=7.28
  [offtrack] t=0.553 v=14.6 x=-13.06 z=-254.22 y=23.868 heave=0.035 ontrack=false wrecked=true bndpk=163477.0 bndF=(0.0,0.0) wfx=-14240.0 cF=(0.0,0.0) off=9.2 nl=7.34
  [offtrack] t=0.57 v=13.4 x=-13.12 z=-254.19 y=23.869 heave=0.032 ontrack=false wrecked=true bndpk=145384.0 bndF=(0.0,0.0) wfx=-13262.0 cF=(0.0,0.0) off=9.3 nl=7.41
  [offtrack] t=0.587 v=12.4 x=-13.17 z=-254.16 y=23.869 heave=0.029 ontrack=false wrecked=true bndpk=132852.0 bndF=(0.0,0.0) wfx=-12387.0 cF=(0.0,0.0) off=9.3 nl=7.47
  [offtrack] t=0.605 v=11.4 x=-13.22 z=-254.13 y=23.869 heave=0.026 ontrack=false wrecked=true bndpk=122086.0 bndF=(0.0,0.0) wfx=-11524.0 cF=(0.0,0.0) off=9.4 nl=7.52
  [offtrack] t=0.622 v=10.4 x=-13.26 z=-254.1 y=23.868 heave=0.023 ontrack=false wrecked=true bndpk=110263.0 bndF=(0.0,0.0) wfx=-10636.0 cF=(0.0,0.0) off=9.5 nl=7.56
  [offtrack] t=0.639 v=9.6 x=-13.3 z=-254.07 y=23.867 heave=0.02 ontrack=false wrecked=true bndpk=98350.0 bndF=(0.0,0.0) wfx=-9813.0 cF=(0.0,0.0) off=9.5 nl=7.6
  [offtrack] t=0.656 v=8.8 x=-13.33 z=-254.04 y=23.867 heave=0.017 ontrack=false wrecked=true bndpk=87673.0 bndF=(0.0,0.0) wfx=-9051.0 cF=(0.0,0.0) off=9.5 nl=7.64
